id,title,source_category,ground_truth,prediction,correct,margin
60114,Liên minh châu Âu xem xét lệnh cấm TikTok,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0019306870211902
54803,6 sai lầm khi sử dụng email có thể khiến bạn mất việc,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0148992635408156
63802,Tính năng bảo mật khiến MacBook cũ thành rác công nghệ,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0159213605752124
183883,Tín chỉ carbon và câu chuyện mục tiêu kép chuyển đổi số bền vững,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0169292285977139
57817,FPT Techday 2024 hướng đến công nghệ tương lai,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0204503513315695
58293,Giá bộ nhớ DRAM sắp tăng mạnh,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0206864515282773
55547,Vì sao Apple tổ chức sự kiện ra mắt iPhone 16 sớm hơn thường lệ,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0308988941753506
59749,Microsoft đang không hài lòng với Xbox,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0407411674396378
17476,Phần mềm tự phát triển giúp hàng không Nga vô sự trước sự cố CrowdStrike,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0459323829893097
60880,Một phút 'rớt mạng' gây thiệt hại ra sao?,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0569456845920378
65205,Ngành kho hàng tăng cường áp dụng công nghệ RFID,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.058718256926824
56334,Microsoft đầu tư vào công ty khởi nghiệp chip AI,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0622011500447617
186310,‘Tám chữ vàng’ trong bảo vệ cơ sở hạ tầng thông tin trọng yếu,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0642887603752469
186722,Bộ phận dịch vụ toàn cầu của Boeing bị tấn công mạng,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0703429143822929
59643,MeKo trở thành nhà phân phối phụ kiện công nghệ của ESR tại Việt Nam,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0753462499566429
55662,Diablo IV lập kỷ lục trò chơi bán chạy nhất mọi thời đại của Blizzard,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0782339442946244
56470,Minh Tuấn Mobile mở cửa hàng trải nghiệm loa cao cấp,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0820574687658545
57395,Google không muốn công khai thuật toán AI,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0926130368845556
65266,Không gian mạng là 'mặt trận chiến lược mới',Khoa học công nghệ,Khoa học,Kinh doanh,False,0.0930144495681328
57802,Windows 11 chiếm gần 30% tổng số máy tính Windows,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.097526541938209
53097,Tuần lễ Blockchain GM Vietnam thu hút sự quan tâm của giới công nghệ,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1171839883206384
63365,Trailer đầu tiên của GTA 6 sẽ phát hành vào ngày 5.12,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1266804040648815
64593,"VTV 'mất kênh' trên nền tảng OTT, khán giả chịu thiệt",Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1318853183586805
62822,Việt Nam sắp có khung năng lực AI quốc gia đầu tiên,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1345467192981731
181431,Elon Musk dọa kiện Apple,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1360598343315867
64762,Một startup AI tại Việt Nam muốn đi trước tầm nhìn của tỉ phú Elon Musk,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1440408289167721
64267,Samsung sẵn sàng tung sản phẩm đối đầu Vision Pro,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1484221594612357
185453,CMC Cloud đồng hành DotB bứt phá công nghệ giáo dục,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1580679048853521
184182,Quảng Ninh phát huy tối đa sức mạnh của tổ công nghệ số cộng đồng,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1611232699439522
184082,Ứng dụng công nghệ số để làm nhiều việc hữu ích hơn,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1615784269013992
183095,Chấn chỉnh việc lạm dụng yêu cầu bản sao chứng thực khi làm thủ tục hành chính,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1771352692940224
187652,iPhone 18 sẽ không ra mắt vào năm sau?,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1793498640585937
64458,CEO Grab Việt Nam: Giá dịch vụ phải ngày càng phù hợp hơn với người dùng,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1800970848395768
181626,OpenAI sẵn sàng nhảy vào nếu Google bị ép bán Chrome,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.1995143661428835
182542,"Cần ưu tiên đầu tư hạ tầng số, nền tảng số, dữ liệu, giải tỏa hạn chế",Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2062949489705069
63735,‘Ghostrunner 2’ chốt ngày phát hành vào cuối tháng 10,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2134468643011063
183030,Tân Quang trong hành trình hướng tới “xã thông minh”,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2154469773422248
63267,Nhân viên ngân hàng làm lộ dữ liệu người dùng,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2190886628068221
183326,Đồng Nai đẩy mạnh chuyển đổi số ngành nông nghiệp,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2193181952516557
181265,Thụy Sỹ hỗ trợ doanh nghiệp Việt sản xuất UAV đạt chuẩn Quốc tế,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2243773872858004
17088,"AWS, CloudFlare là gì mà mỗi lần 'sập' khiến cả cộng đồng mạng dậy sóng?",Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2303181380619827
65303,Trao giải Sáng tạo nội dung số Việt Nam 2024,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2333065520369742
59767,Tương lai khó đoán của dòng Samsung Galaxy S26 với mẫu Pro mới,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2427965003624634
65191,Những lợi ích của việc ứng dụng tự động hóa vận hành kho hàng,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2459631657675846
186396,Thủ tướng Phạm Minh Chính yêu cầu bảo đảm ATTT mạng mức cao nhất,Khoa học công nghệ,Khoa học,Kinh doanh,False,0.2621906604631713
